img,col,type
mdb009,800,a
mdb012,700,a
mdb051,750,a
mdb058,700,a
mdb067,800,a
mdb068,800,a
mdb109,820,a
mdb111,800,a
mdb112,800,a
mdb115,813,a
mdb118,700,a
mdb130,800,a
mdb131,800,a
mdb132,770,a
mdb133,960,a
mdb135,900,a
mdb136,800,a
mdb139,800,a
mdb140,800,a
mdb141,850,a
mdb143,750,a
mdb144,820,a
mdb145,850,a
mdb146,800,a
mdb147,800,a
mdb148,800,a
mdb149,800,a
mdb150,800,a
mdb153,800,a
mdb154,800,a
mdb163,800,a
mdb253,800,a
mdb257,800,a
mdb258,800,a
mdb274,800,a
mdb283,800,a
mdb308,800,a
mdb002,700,b
mdb015,750,b
mdb024,700,b
mdb048,800,b
mdb105,770,b
mdb134,950,b
mdb169,720,b
mdb287,600,b
mdb301,730,b
mdb305,735,b
mdb313,810,a